Name,Image URL,Image Name
MERCURIAL SUPERFLY VI CR7 ELITE,https://www.footballbootsdb.com/logos/boots/238/3.jpg?w=250,Football Shoes Images/82.jpg
PREDATOR 18+,https://www.footballbootsdb.com/logos/boots/227/3.jpg?w=250,Football Shoes Images/83.jpg
ACE 17.1 PRIMEKNIT,https://www.footballbootsdb.com/logos/boots/190/3.jpg?w=250,Football Shoes Images/84.jpg
X 16+ PURECHAOS,https://www.footballbootsdb.com/logos/boots/170/3.jpg?w=250,Football Shoes Images/85.jpg
11PRO,https://www.footballbootsdb.com/logos/boots/3/3.jpg?w=250,Football Shoes Images/86.jpg
EVOSPEED,https://www.footballbootsdb.com/logos/boots/11/3.jpg?w=250,Football Shoes Images/87.jpg
F50 ADIZERO,https://www.footballbootsdb.com/logos/boots/21/3.jpg?w=250,Football Shoes Images/88.jpg
LETHAL TESTIMONIAL,https://www.footballbootsdb.com/logos/boots/35/3.jpg?w=250,Football Shoes Images/89.jpg
F50 ADIZERO MESSI,https://www.footballbootsdb.com/logos/boots/41/3.jpg?w=250,Football Shoes Images/90.jpg
PREMIER,https://www.footballbootsdb.com/logos/boots/55/3.jpg?w=250,Football Shoes Images/91.jpg
LETHAL TIGREOR 7 K,https://www.footballbootsdb.com/logos/boots/90/3.jpg?w=250,Football Shoes Images/92.jpg
STADIO 300,https://www.footballbootsdb.com/logos/boots/219/3.jpg?w=250,Football Shoes Images/93.jpg
MORELIA NEO II,https://www.footballbootsdb.com/logos/boots/234/3.jpg?w=250,Football Shoes Images/94.jpg
FURON 4.0,https://www.footballbootsdb.com/logos/boots/242/3.jpg?w=250,Football Shoes Images/95.jpg
ONE 18.1,https://www.footballbootsdb.com/logos/boots/229/3.jpg?w=250,Football Shoes Images/96.jpg
MERCURIAL VAPOR XI NJR,https://www.footballbootsdb.com/logos/boots/216/3.jpg?w=250,Football Shoes Images/97.jpg
NEMEZIZ 17+ 360AGILITY,https://www.footballbootsdb.com/logos/boots/205/3.jpg?w=250,Football Shoes Images/98.jpg
PREDATOR MANIA,https://www.footballbootsdb.com/logos/boots/204/3.jpg?w=250,Football Shoes Images/99.jpg
VELOCITA 3,https://www.footballbootsdb.com/logos/boots/202/3.jpg?w=250,Football Shoes Images/100.jpg
EVOPOWER 1.3,https://www.footballbootsdb.com/logos/boots/153/3.jpg?w=250,Football Shoes Images/101.jpg
NITROCHARGE,https://www.footballbootsdb.com/logos/boots/4/3.jpg?w=250,Football Shoes Images/102.jpg
GEO FLARE,https://www.footballbootsdb.com/logos/boots/13/3.jpg?w=250,Football Shoes Images/103.jpg
GEOMETRA,https://www.footballbootsdb.com/logos/boots/14/3.jpg?w=250,Football Shoes Images/104.jpg
TOTAL 90,https://www.footballbootsdb.com/logos/boots/39/3.jpg?w=250,Football Shoes Images/105.jpg
11PRO SL,https://www.footballbootsdb.com/logos/boots/53/3.jpg?w=250,Football Shoes Images/106.jpg
PROPULSION,https://www.footballbootsdb.com/logos/boots/54/3.jpg?w=250,Football Shoes Images/107.jpg
F50 ADIZERO,https://www.footballbootsdb.com/logos/boots/86/3.jpg?w=250,Football Shoes Images/108.jpg
ZHERO GRAVITY VII,https://www.footballbootsdb.com/logos/boots/114/3.jpg?w=250,Football Shoes Images/109.jpg
ACE 15.1,https://www.footballbootsdb.com/logos/boots/117/3.jpg?w=250,Football Shoes Images/110.jpg
MERCURIAL SUPERFLY LEATHER,https://www.footballbootsdb.com/logos/boots/132/3.jpg?w=250,Football Shoes Images/111.jpg
FURON 5.0,https://www.footballbootsdb.com/logos/boots/273/3.jpg?w=250,Football Shoes Images/112.jpg
COPA 19+,https://www.footballbootsdb.com/logos/boots/265/3.jpg?w=250,Football Shoes Images/113.jpg
MERCURIAL VAPOR XII ELITE NJR,https://www.footballbootsdb.com/logos/boots/261/3.jpg?w=250,Football Shoes Images/114.jpg
MERCURIAL VAPOR XII ELITE ID,https://www.footballbootsdb.com/logos/boots/241/3.jpg?w=250,Football Shoes Images/115.jpg
UX ACCURO 2,https://www.footballbootsdb.com/logos/boots/244/3.jpg?w=250,Football Shoes Images/116.jpg
SPOTLIGHT,https://www.footballbootsdb.com/logos/boots/217/3.jpg?w=250,Football Shoes Images/117.jpg
ONE,https://www.footballbootsdb.com/logos/boots/210/3.jpg?w=250,Football Shoes Images/118.jpg
REBULA V1,https://www.footballbootsdb.com/logos/boots/223/3.jpg?w=250,Football Shoes Images/119.jpg
TIEMPO TOTTI X ROMA,https://www.footballbootsdb.com/logos/boots/203/3.jpg?w=250,Football Shoes Images/120.jpg
